state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,spending-per_value,spending-per_rank
WA,38.950332677186765,6,0.0971379684107115,24,0.2604005105277693,32,0.24048245538606175,13,0.3013587604290822,21,6403.197926102503,17
WI,33.25503730378655,15,0.08424496688843519,35,0.3200523333326422,14,0.19629564845587236,31,0.19617161716171616,30,6283.213333333333,19
WV,22.86911312908976,33,0.09383115886167903,28,0.23807842461821105,38,0.1820659054463026,34,0.3051655629139073,19,5622.812185430464,24
FL,24.037696993638473,31,0.09124952461235725,33,0.22874822071411505,40,0.2183138595885452,21,0.11156462585034013,46,5275.00910430839,28
WY,34.145612791280186,12,0.08203427672029302,37,0.46507131537242474,2,0.22263113655466957,18,0.21081632653061225,28,4020.0744897959185,41
NH,21.055906431332243,42,0.04009393800182699,52,0.5292868468740561,1,0.1747534727794718,37,0.24020408163265305,27,5677.776734693877,23
NJ,28.36109779179811,20,0.07048817034700315,45,0.30712391693158986,19,0.17616170447507976,36,0.18257016248153618,32,7436.723899556869,9
NM,34.71404695590604,11,0.12758119806542664,4,0.3610272414506214,10,0.20985867086036847,24,0.15359801488833746,38,3591.2999503722085,46
NC,35.08189404772029,9,0.11139832138939562,13,0.2980580718296098,22,0.23496117193256721,15,0.08219592373438528,52,4496.8396186719265,38
ND,15.823628162831959,50,0.06313621821135662,49,0.34540550301333994,12,0.19604639764744322,32,0.529,6,3701.173,45
NE,56.39195316377857,1,0.08169391647583626,38,0.24071459671992718,36,0.3179127384345538,3,0.28706896551724137,23,9020.218620689655,4
NY,43.507969800797056,2,0.09147667635361403,32,0.2896340647503674,25,0.24399094105429112,12,0.4971360946745562,8,6730.3104930966465,14
RI,35.92818511984663,8,0.07834989649803303,41,0.27779057642408517,28,0.2444294100958076,11,0.16732142857142857,35,6753.453035714286,13
NV,18.14286025380683,47,0.11302080214282215,12,0.3821997430956969,6,0.050833074266701396,52,0.3049586776859504,20,8262.48347107438,5
CO,20.432313328809453,44,0.07846106166582141,40,0.30285604165490354,21,0.1325308529393884,44,0.15688073394495414,37,6487.989296636086,16
CA,22.457277450569823,35,0.1135106526638359,11,0.28864623353009156,26,0.08648028834781353,49,0.5394251274918869,5,7925.696903106166,7
GA,17.994809154148605,48,0.11817532009275128,9,0.20270461643722257,48,0.22495175847462084,17,0.09395696913002806,49,3339.3921796071095,50
CT,32.84471319249425,17,0.0645764116135214,48,0.3709044379628712,8,0.11092913312657537,47,1.0158115183246073,2,12361.86272251309,1
OK,34.7257611160844,10,0.11885223676133903,8,0.313035360816107,17,0.18589781957349125,33,0.09670454545454546,48,5020.843901515152,35
OH,25.788050213572085,29,0.09668085632454126,25,0.21136717137481856,47,0.19911499738396785,30,0.3323404255319149,17,6337.770531914894,18
KS,29.84926537596077,19,0.11025701619492399,14,0.3034227116449506,20,0.2040425278486978,26,0.27588832487309645,24,4372.790101522843,40
SC,18.84290185471161,46,0.10982905467112436,15,0.2228788021924844,41,0.14489243358736364,42,0.18328358208955223,31,5312.709492537313,26
KY,32.98145987249813,16,0.10818587578548021,16,0.25536818709948145,34,0.22831804331849748,16,0.13265822784810127,44,5228.682640144665,31
OR,21.952481914410093,38,0.09277592131088336,29,0.2191985712073961,43,0.20558743772466417,25,0.5398773006134969,4,5250.661963190184,30
SD,17.923893714110417,49,0.09893182057845139,23,0.2878486900277377,27,0.23564560584064465,14,0.3773214285714286,14,2670.9930357142857,52
DE,26.364775799694836,27,0.09056355186769058,34,0.37954019943157186,7,0.21893988672240644,20,0.20623188405797102,29,3503.3857971014495,48
DC,24.28342151675485,30,0.08330026455026456,36,0.3465660976578007,11,0.0709103801887307,50,0.17846153846153845,34,11862.264615384616,2
HI,33.439056524929526,14,0.09275068460890057,30,0.41344635392475615,4,0.16851092512497895,38,0.8385555555555556,3,5174.7534444444445,33
TX,23.45563423478014,32,0.136026312443326,2,0.31663787410607835,16,0.11259748290573575,46,0.08342947451600158,51,4836.516934018175,36
LA,22.574474715641088,34,0.12235055846752826,6,0.2583480802920874,33,0.22225810108449587,19,0.10454404945904174,47,3213.2821329211747,51
TN,30.005897591963784,18,0.10327385290906818,20,0.24697330387264102,35,0.2581311306143521,8,0.148,40,4557.491294117647,37
PA,34.02812284970379,13,0.07666082252033138,42,0.30833985384519524,18,0.32582084657101307,2,0.2553329944077275,26,4418.308002033554,39
