state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,1479.4752277481123,33,0.1679436511475315,35,0.986399515107141,24,0.9043662610443244,22,0.10219941036754272,49,46556.59923667737,10,50070.40495875596,7
WI,1691.0346543024073,18,0.17347326270837088,24,0.9913343369096228,4,0.8716050335751121,45,0.13435216984441262,38,39735.10920477413,17,44237.064828950104,14
WV,1590.9073523699935,26,0.1511011343453394,50,0.9852793850783091,30,0.9270015414564955,8,0.1705114993676519,7,33516.273149737885,34,34089.47737105968,28
FL,1182.9045721273553,50,0.15583838540609407,47,0.9842515247197553,35,0.8930402621943621,33,0.13315610868688682,39,31178.54553437385,43,33675.495198708326,29
WY,2495.4540963402223,5,0.17247045812655032,28,0.987024734414103,22,0.9451459177646987,2,0.20527047264029993,2,37586.67453944261,22,37971.50527475988,18
NH,1967.1080763825241,9,0.15931391655320493,44,0.9925606054128009,2,0.8982697968267643,28,0.1940057544757033,3,36965.099283183656,23,34418.109087912984,27
NJ,2571.03785488959,4,0.1717214961694457,33,0.9922549534181866,3,0.8882190168573686,38,0.16759594383543083,10,53893.54258277146,2,47468.87513436203,9
NM,1404.9973280168704,37,0.18386362044599572,7,0.9731972104017679,52,0.9200606957491528,10,0.1345056674145517,37,32010.382574034356,40,31438.17789909231,35
NC,1239.4971943996527,48,0.17451543010947376,22,0.9827598976727125,39,0.9134273473140102,16,0.13741438244037874,34,31799.456995677887,41,25778.743727692505,47
ND,1636.8716198402462,23,0.1562878987608753,45,0.9884195936827516,15,0.8965663573128656,29,0.16515753297800095,13,35758.38639337113,25,35801.08030652295,22
NE,1831.5040741325593,13,0.18048846475345826,13,0.988235083339803,17,0.8764390217371598,43,0.1679819072539914,9,34946.937711647,29,34798.203386351975,24
NY,2621.479624259326,3,0.16299547001755482,39,0.9858721007548793,26,0.8717126603282294,44,0.170386881464075,8,50410.05694785158,6,59424.97164360261,3
RI,2041.5176361841736,8,0.15545529940520805,48,0.9802918637480292,47,0.8859194703671149,39,0.14506765742754005,27,50547.8822273962,5,53690.42782305005,5
NV,1287.1087689116575,45,0.17873655518837708,15,0.9816371991398338,42,0.9332340407926855,6,0.0878610820491905,52,47019.101871941064,9,42448.076088601854,15
CO,1404.47413366196,38,0.174698928618688,21,0.9873493085891072,20,0.9166554998704651,14,0.12634795023852569,42,35501.32737475414,28,34802.39625515831,23
CA,1582.6529223561706,27,0.18164062110019288,11,0.9885983678604381,12,0.9175328924892892,13,0.10157953828439344,50,49023.62300480981,8,45540.18226713885,12
GA,1567.8375844339148,28,0.18809093658634943,5,0.9820295507146479,40,0.9098178257530646,17,0.14410229645093947,28,33574.69132872897,33,31166.889890802515,36
CT,2232.6813492909173,7,0.17189142329014162,31,0.9898565971772627,9,0.9041880527753842,23,0.16303390556930938,15,49978.4559753311,7,39036.618231026914,16
OK,1309.7609966206967,43,0.17952591248917033,14,0.9788839580831246,49,0.9270085615340695,7,0.14819347441177558,22,28857.222927586245,50,25395.416761619515,49
OH,1732.1041016627187,16,0.17341859306040283,25,0.9875575408820447,19,0.8691988795971322,46,0.13953941460827327,30,38902.91748113015,19,44484.37397106692,13
KS,1533.6060785192897,29,0.18314560878402586,9,0.9852313490441811,31,0.8944783061223706,31,0.18184355383043221,5,31145.73469339567,44,21107.28176430309,52
SC,1408.157038220937,36,0.17241061690108098,30,0.981857706053572,41,0.9181107700467066,12,0.13919925448677165,31,32411.493476622523,39,32677.347779702653,31
KY,1401.669455556278,39,0.17187544556646397,32,0.986938054976706,23,0.8825327575517538,41,0.1672569122738577,11,30351.17950399971,48,25628.056633685017,48
OR,1420.17537199732,35,0.16257408910288704,40,0.9871478720467006,21,0.904700333557623,20,0.1150230014203642,45,37736.441812959805,21,47302.723279423735,10
SD,1300.4419391638626,44,0.1757211469327888,18,0.9905141843971631,6,0.914539859138445,15,0.1483332831461351,20,30552.39646772229,47,24523.933211530653,50
DE,1842.6742401685715,12,0.16610443449040824,38,0.9788441082614349,50,0.8627679841154847,48,0.13004400628216892,41,43589.98086810953,13,57421.19933038384,4
DC,3122.111992945326,1,0.11989480977576215,52,0.9815860674039244,43,0.8211437593663027,51,0.12470465544493148,44,56868.03475761139,1,202202.39513916112,1
