state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,116.12605380401881,14,,,,,,,0.01574708268534328,41,2680.3255338545264,7,7374.448723261232,5
WI,66.65789653876197,34,,,,,,,0.05122702837155941,15,478.7251158492715,41,1301.2251277837072,39
WV,63.786117966097315,36,,,,,,,0.09542194662214831,6,202.5437383209227,48,668.4638096797322,48
FL,115.47901513268462,15,,,,,,,0.03637962544232815,23,929.1133401596564,26,3174.277187535948,22
WY,217.9554960798623,2,,,,,,,0.20767754158916818,2,367.23453213198616,45,1049.4899660889967,44
NH,35.085223080049374,51,,,,,,,0.17621624812589448,3,106.9542248984255,50,199.10322375598065,50
NJ,58.75833799008562,38,,,,,,,0.0492700540784137,16,788.7956078029639,32,1192.5770955430908,43
NM,140.60147539520887,10,,,,,,,0.04761358806558975,17,855.98754722684,30,2952.9695430960655,24
NC,77.9169972326119,29,,,,,,,0.021663733982780993,37,1305.2582890587266,20,3596.6559271150004,18
ND,175.37711716462047,3,,,,,,,0.028276839982613777,27,1807.7859086785606,14,6202.146960991836,9
NE,94.43881848808427,19,,,,,,,0.07258525659301304,8,374.75620169140416,44,1301.0743905970405,40
NY,103.93326023071187,17,,,,,,,0.06907085888099947,9,500.15432236417524,39,1504.7338619283132,38
RI,27.175560045865765,52,,,,,,,0.009001203643801234,48,2411.165382585752,9,3019.10290237467,23
NV,171.90557790686492,4,,,,,,,0.05301343437697918,11,1232.2750008557834,21,3242.6795193920516,21
CO,161.0244333802222,6,,,,,,,0.043376660748897906,20,1402.3825505441853,18,3712.2367328451724,16
CA,102.9447908954627,18,,,,,,,0.04127034336430497,21,1051.5712194053717,24,2494.401124476721,31
GA,60.81439499949592,37,,,,,,,0.008762677689283195,49,2781.1169736645306,6,6940.161119228689,6
CT,47.5906433464409,48,,,,,,,0.05746054515377138,10,490.77527186807015,40,828.2316712986724,46
OK,77.97181232985919,28,,,,,,,0.01875632522316265,38,1081.668240355337,23,4157.094281643713,13
OH,78.7941996905696,26,,,,,,,0.015093021747827291,42,2016.0252612740767,11,5220.571533457995,11
KS,78.76114964625363,27,,,,,,,0.011399995703345085,43,3058.4932522796353,3,6908.87537993921,7
SC,74.1571258841224,33,,,,,,,0.017908275934062887,40,1595.08170359685,15,4140.941660557618,14
KY,37.43408650462591,50,,,,,,,0.010364859762767582,44,1926.2569881586478,12,3611.6346348549546,17
OR,94.01659431746712,20,,,,,,,0.026540494177009474,31,1559.020150184106,16,3542.3829598059397,19
SD,154.9459319547899,7,,,,,,,0.12400060395156884,4,253.61400863943408,47,1249.5578813092511,41
DE,53.45731888871075,46,,,,,,,0.02795564528003089,29,774.1357677902622,33,1912.2191011235955,37
DC,284.85920886873265,1,,,,,,,0.0,52,7,52,7,52
HI,161.72422359534912,5,,,,,,,0.024291948539812144,32,2613.7952886235335,8,6657.523719445512,8
TX,64.67462571119606,35,,,,,,,0.023579828669897343,33,934.0818784921876,25,2742.794556169166,28
LA,122.01415931048501,13,,,,,,,0.00952908565601041,47,3812.6561680986347,2,12804.393172132455,1
TN,57.30021159760608,42,,,,,,,0.02796592564386693,28,869.6555047777316,28,2048.929555463232,33
PA,57.73191022144561,40,,,,,,,0.0230313241701692,34,880.4015218743943,27,2506.669169123222,30
VA,83.05442683167058,23,,,,,,,0.008551738211457924,50,4912.516526802535,1,9711.99360621111,2
AK,134.3503661017042,11,,,,,,,4.63245796293434,1,9.381069843168959,51,29.001961200011102,51
AL,54.58803641070733,44,,,,,,,0.009995674090458838,45,2821.481995265191,5,5461.166092121111,10
AR,48.66985386362866,47,,,,,,,0.018364357644186757,39,1383.4988368228646,19,2650.2344817399653,29
VT,54.443269694540184,45,,,,,,,0.1106609086175891,5,192.2175237050614,49,491.9828544213367,49
IL,131.0358949438482,12,,,,,,,0.03790942865733974,22,1528.7341328628772,17,3456.5515647379193,20
IN,79.6811469351594,25,,,,,,,0.02748059236127087,30,677.4607754733995,37,2899.542553073061,25
IA,87.41699418225677,22,,,,,,,0.02257817541658065,36,1230.3506745957466,22,3871.7474981641203,15
AZ,74.32603219286187,31,,,,,,,0.00977512096879978,46,2843.650605417551,4,7603.592060916241,4
ID,57.72974260304966,41,,,,,,,0.028890253761931325,25,812.9974618738746,31,1998.242835759377,35
ME,74.25981791249684,32,,,,,,,0.07326929561520767,7,311.12796753813757,46,1013.5189275258102,45
MD,114.41678843155229,16,,,,,,,0.022760033870694262,35,2324.764068069621,10,5027.092186311504,12
MA,37.97273036912457,49,,,,,,,0.052551830883876376,14,424.2282489364622,43,722.5767348245735,47
UT,146.03876023835858,8,,,,,,,0.05280080442870082,13,751.893111900817,34,2765.8434718653,26
MO,80.06531147675935,24,,,,,,,0.03388572250821165,24,743.9069015678034,35,2362.8037282474006,32
MN,145.89131985841766,9,,,,,,,0.05282240041333565,12,869.3341918322972,29,2761.921433271057,27
MI,57.83567607618216,39,,,,,,,0.028847376588312882,26,533.3757390846922,38,2004.8851201122216,34
US,88.32038230634353,21,,,,,,,0.04456123224908276,19,743.4821211078005,36,1982.000448566175,36
MT,55.84367908488474,43,,,,,,,0.04568413282223878,18,433.75322299651566,42,1222.3867595818815,42
MS,74.69081023409174,30,,,,,,,0.007908210507421461,51,1878.9398263815372,13,9444.717001905568,3
