state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,231.33015765190234,39,,,,,0.07910266067496814,9,0.027377997132579688,52,75739.68713587357,10,31077.094488716262,35
WI,295.858681741844,20,,,,,0.05470365027563719,37,0.051153745441539944,15,59838.762219863915,23,45889.37311942069,14
WV,187.4270202727449,49,,,,,0.05358704784884848,38,0.04009286992180433,36,42100.39508648784,49,45137.50915016295,17
FL,364.3546634760381,7,,,,,0.07526364531727005,15,0.04409723893683595,26,59806.321751606265,24,49974.805439461044,10
WY,350.62935074034124,9,,,,,0.049886755019718156,45,0.07074323854550511,4,52953.19901719902,32,46399.13513513513,12
NH,262.31427107853483,26,,,,,0.050202138743675365,44,0.058012298788207635,6,60097.65549493375,22,29972.232787737077,38
NJ,368.3782660064014,6,,,,,0.04673294203523352,49,0.0806532566310181,2,86762.6837003351,2,10972.057802776442,51
NM,296.3000470353341,19,,,,,0.08327557906255699,3,0.03447103303594071,49,55955.77528841331,29,47263.25163016218,11
NC,267.0390641957974,24,,,,,0.07448593425522478,16,0.03892491006946548,38,46886.497735635436,43,45216.31856778942,15
ND,238.36485609792612,34,,,,,0.04498499312036159,51,0.05080824088748019,16,49852.68621334997,35,54436.77105427324,5
NE,209.01177675371224,46,,,,,0.06029266715175034,29,0.04455410140885361,25,56148.55617977528,27,21658.426163723918,46
NY,448.76159096859055,2,,,,,0.0465618195633712,50,0.09410970927043336,1,85558.87163824157,3,16853.23593802823,50
RI,334.60407653403206,11,,,,,0.05649411979769667,34,0.054654846973169746,13,69590.66049953747,13,38776.90040086339,21
NV,382.3836732678516,5,,,,,0.068453800782325,19,0.04248830524116131,28,76908.11084758457,6,54563.61552864812,4
CO,296.4311494572266,18,,,,,0.0598494100925376,31,0.04833121905044013,19,72651.10012657385,12,29828.215042302312,39
CA,382.60959679923184,4,,,,,0.06370594137170651,27,0.041889559644715135,29,89933.7188951453,1,53440.1902038321,6
GA,224.8791455443246,41,,,,,0.0758236024158184,12,0.03659289210470313,44,43481.57473102646,48,37567.494765920324,27
CT,297.7032183341616,16,,,,,0.048440808349098564,46,0.05628549095339908,10,80101.85152660063,5,29086.344123353425,40
OK,230.48603431015414,40,,,,,0.07738653695967797,11,0.037678214636459074,40,47889.0016178321,38,31158.634549703398,34
OH,269.19420539943155,23,,,,,0.06828995784742549,20,0.04074118201775511,32,59044.85331176306,25,37710.55221976791,26
KS,248.02262980704916,31,,,,,0.06996747069208477,17,0.04460977591091914,24,48789.40039973351,37,30673.624250499663,37
SC,214.5063626607602,44,,,,,0.08762597077497075,2,0.03358589397285295,50,41052.17178620243,50,31834.886698798648,32
KY,149.7503270749567,52,,,,,0.05551849086587529,36,0.041413742617907846,30,47698.027805362464,40,17432.657398212512,49
OR,285.00787604290576,22,,,,,0.0694271323075203,18,0.03315210967970689,51,68358.51069518717,15,55468.806595365415,3
SD,195.11850051615795,47,,,,,0.047599236014277374,47,0.04929471032745592,17,44475.74655084313,45,38681.12621359224,22
DE,325.3486984939802,12,,,,,0.077768678582372,10,0.03468969965506604,48,69431.1123686338,14,51167.917542441384,7
DC,799.0644541517808,1,,,,,0.12187671191786899,1,0.056813471502590675,8,83849.08618331053,4,31551.96260829913,33
HI,254.77918695911777,29,,,,,0.06639426224201311,23,0.04052267753050036,33,76610.21390374332,7,18086.57754010694,48
TX,238.32879087806833,35,,,,,0.07540329926990719,13,0.037341163419114844,42,56014.41745482297,28,28629.999127803974,41
LA,322.38891783681225,13,,,,,0.0807468882913883,5,0.047547415556177475,20,45081.24534495444,44,38889.38117607108,20
TN,248.64839407620303,30,,,,,0.08031524509854043,6,0.0393111483176063,37,44336.85161923454,46,34417.02473012758,30
PA,246.68127753001983,32,,,,,0.0502956839196285,43,0.05547525070171558,11,65705.18511862979,18,22705.793401656614,45
VA,237.92396576465916,36,,,,,0.04703988015578575,48,0.056593386618471145,9,53960.37973754244,30,35412.61282921905,28
AK,417.89137992652405,3,,,,,0.0669554036863949,22,0.04014479119800401,35,76028.47885888946,8,79442.2292409577,1
AL,235.03921513274028,37,,,,,0.07911567924462505,8,0.03822984609410666,39,43530.3932468602,47,34179.30409717934,31
AR,194.30454928219544,48,,,,,0.08256481394847429,4,0.03501921560898699,47,41037.32958142807,51,26164.56982061203,43
VT,266.19410722530284,25,,,,,0.05083129244527944,41,0.05547174555283173,12,49326.35694050991,36,45078.74220963173,18
IL,347.016814794184,10,,,,,0.05990212144798585,30,0.06092767295597484,5,75842.62433727244,9,19238.372149473013,47
IN,172.27080988628865,51,,,,,0.06749506178089144,21,0.035445579557094556,45,47539.44197941308,41,24468.038360718623,44
IA,216.53806667167473,43,,,,,0.050699194384201306,42,0.04516298700465677,22,56608.55219429058,26,37960.82715523363,24
AZ,302.31567012137873,15,,,,,0.07938698997687275,7,0.03761757896922757,41,62970.985074626864,20,38261.63606624413,23
ID,243.38332529033147,33,,,,,0.043832062121221614,52,0.05762246561239955,7,51206.73052109181,34,45155.55235732009,16
ME,180.68635251309558,50,,,,,0.0526789215815419,39,0.0425811614083219,27,53027.778523489935,31,27523.228187919463,42
MD,359.3502861916359,8,,,,,0.06460161893180952,25,0.0488042254558463,18,67675.65182709928,16,46301.33426754338,13
MA,312.42473067067067,14,,,,,0.0511765979670152,40,0.07570188541654414,3,75413.90654496019,11,5229.208623033599,52
UT,222.62126730069414,42,,,,,0.06396085847661769,26,0.03527929901423877,46,47716.90841353617,39,50941.11704439615,8
MO,261.62191788825737,27,,,,,0.07527402173981604,14,0.040927032569626674,31,47079.84827586207,42,37841.865086206904,25
MN,291.7649228220593,21,,,,,0.05597803275531513,35,0.040160455864675135,34,65944.3648089962,17,63838.33735736729,2
MI,233.63466338895984,38,,,,,0.0597060324397049,32,0.03723946946509255,43,62124.24794065444,21,42954.66709143039,19
US,297.12544713648106,17,,,,,0.06492995422665013,24,0.045885426572306584,21,65267.94450005133,19,34460.71421910823,29
MT,261.2387542839639,28,,,,,0.05709830192920097,33,0.04485125060962865,23,51593.59689320388,33,50415.723495145634,9
MS,212.736861491068,45,,,,,0.06140534748614576,28,0.0521637656502203,14,35735.09052895672,52,30680.130043905498,36
