state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,112.70814528027609,15,,,,,,,0.0008708986307924873,12,45088.31668331668,16,84327.60073260072,30
WI,111.07465927717712,16,,,,,,,0.000513023136871848,31,41255.107252298265,26,175254.9315628192,9
WV,89.08033936087287,21,,,,,,,0.001096797792182676,10,34119.076620825144,45,47099.48526522594,47
FL,158.35320151006002,8,,,,,,,0.0007102463170600112,18,38986.861133338185,33,183968.46817487452,8
WY,631.2297081087827,1,,,,,,,0.0022811855924755545,2,41454.59726443769,25,235256.6489361702,7
NH,45.74066239460167,44,,,,,,,0.000311814830427981,45,42881.65048543689,18,103810.09708737864,21
NJ,68.81917260027039,30,,,,,,,0.00022814330779630465,48,59112.91851851852,2,242535.95851851854,5
NM,117.57637602334076,14,,,,,,,0.0006869443162553475,19,37405.50977653631,37,133753.01536312848,17
NC,73.6449189853984,27,,,,,,,0.0005508720037102307,26,36608.66480446927,40,97079.23091247672,26
ND,478.51164805723204,2,,,,,,,0.0011286794308149437,7,39799.55808080808,30,384157.5328282828,3
NE,157.67720280443893,9,,,,,,,0.001521972398620955,5,33914.1395184136,46,69686.42705382436,39
NY,33.97741843022491,52,,,,,,,0.0001675920098494732,51,52105.87948874011,7,150633.01278149727,12
RI,59.938041319087205,34,,,,,,,0.0003999479402681076,39,55890.02375296912,3,93974.58432304037,28
NV,127.77484688294507,11,,,,,,,0.00029253296893742663,46,49962.10918114144,10,386825.7419354839,2
CO,69.34171079311264,29,,,,,,,0.0003463214136231441,43,48774.74416017797,13,151448.82869855396,11
CA,89.5184774207244,20,,,,,,,0.0006079955273892238,22,52510.58810820154,6,94724.83285800708,27
GA,44.67123863292671,46,,,,,,,0.00043099102732130254,37,30832.287719298245,50,72815.43532163743,38
CT,50.31574226524763,42,,,,,,,0.00017416164537684297,50,50995.0,8,237907.5431309904,6
OK,58.9749878112966,36,,,,,,,0.0006180150739089964,21,33309.84315387876,47,62116.61212378127,43
OH,34.573147843618436,50,,,,,,,0.0002916655592494473,47,40351.47224695756,28,78185.48471356486,35
KS,84.01657954390315,23,,,,,,,0.0004352095624134172,35,37494.27547770701,36,155554.28503184713,10
SC,39.51576889189287,48,,,,,,,0.00046245506467700883,34,30992.696886446887,49,54455.10531135531,46
KY,67.66541811101492,31,,,,,,,0.0007585323482678657,15,34546.73383458646,43,54658.97804511278,45
OR,97.30155098489644,19,,,,,,,0.0008066824600301024,13,41929.48171701113,23,78689.91414944356,32
SD,179.0836233259517,6,,,,,,,0.0015709930689367577,4,35541.24332570557,42,78452.65446224256,34
DE,103.7288372209698,18,,,,,,,0.0005813186225911541,24,37517.84240150094,35,140919.30581613508,14
DC,70.47272612748803,28,,,,,,,6.771227009322248e-05,52,63474.88372093023,1,977292.5581395349,1
HI,54.02845847759064,39,,,,,,,0.0005557286722967103,25,41162.1834625323,27,56058.746770025835,44
TX,59.053042370511214,35,,,,,,,0.0005483547403349267,27,41700.21175483961,24,65991.10196379901,40
LA,199.14788400831839,5,,,,,,,0.0011101594355734,9,39489.56768388106,32,139897.1741001565,15
TN,52.15829217386293,41,,,,,,,0.0006439792433267128,20,37006.959345681986,38,43986.78806831849,51
PA,54.40843198413663,38,,,,,,,0.0004829271130880295,32,49184.49002756608,11,63479.36857467164,42
VA,34.7551975230862,49,,,,,,,0.00038897056687669693,40,42780.489488547224,19,46571.25196109193,49
AK,441.0126921640694,3,,,,,,,0.0033621445503302645,1,53446.63547599674,5,77723.42148087878,36
AL,52.17266772448025,40,,,,,,,0.0005187355059196875,29,35824.705882352944,41,64751.92156862745,41
AR,80.17970365849524,25,,,,,,,0.0007557725561997762,16,33072.44055630328,48,73017.28577837595,37
VT,140.75491345358373,10,,,,,,,0.0009470755648115911,11,46109.22428330523,14,102511.34907251265,24
IL,45.48475841911957,45,,,,,,,0.0003768905797007448,41,42088.907666941464,22,78595.3462489695,33
IN,48.57416263258623,43,,,,,,,0.00041421725786951603,38,34175.7163958641,44,83091.63958641065,31
IA,175.38016375508585,7,,,,,,,0.0005868134404660697,23,50080.15512465374,9,248788.53407202216,4
AZ,58.89934651528713,37,,,,,,,0.0003387614478795455,44,39560.49527239982,31,134306.23863124716,16
ID,110.99843944873057,17,,,,,,,0.0014283117843556302,6,40272.874067573495,29,37440.157964019316,52
ME,118.68277996555753,13,,,,,,,0.00079934246179414,14,42134.265536723164,21,106341.24482109229,20
MD,83.98781293179577,24,,,,,,,0.0004317851583695969,36,48893.282232704405,12,145619.68632075473,13
MA,40.604259514479715,47,,,,,,,0.00022281221467678933,49,54171.43627781524,4,128063.902899528,18
UT,63.28116408202035,33,,,,,,,0.0005166023744796325,30,36905.92542372881,39,85588.98983050848,29
MO,63.332317281135936,32,,,,,,,0.00047831794069023504,33,30504.257460097153,51,101902.06037473977,25
MN,118.73921178155285,12,,,,,,,0.0007361612009036142,17,45369.96718000505,15,115925.15627366828,19
MI,33.984163736151565,51,,,,,,,0.0003726941446654205,42,44419.19923995657,17,46765.9299674267,48
US,77.93336614073147,26,,,,,,,0.000535872421944883,28,42361.985456619375,20,103070.70140918705,22
MT,246.57493361773166,4,,,,,,,0.0017529495216198766,3,38081.118047673095,34,102581.76503972757,23
MS,85.96926396879982,22,,,,,,,0.001120176334843311,8,30441.06427503737,52,46305.12406576981,50
