Code	State 	Great Deal 	Fair Amount 	Not Very Much 	None at all	Percent total	n	great deal / fair amount				
AL	Alabama	15	42	28	13	98	601					
AK	Alaska	14	57	22	6	99	602					
AZ	Arizona	11	46	29	13	99	615					
AR	Arkansas	11	54	22	11	98	602					
CA	California	8	41	33	17	99	629					
CO	Colorado	11	48	29	11	99	610					
CT	Connecticut	8	44	31	16	99	600					
DE	Delaware	11	50	25	12	98	605					
FL	Florida	7	45	33	14	99	609					
GA	Georgia	9	54	26	9	98	605					
HI	Hawaii	6	51	30	12	99	606					
ID	Idaho	9	56	26	9	100	605					
IL	Illinois	4	24	35	35	98	604					
IN	Indiana	16	52	23	7	98	602					
IA	Iowa	10	57	24	8	99	608					
KS	Kansas	9	47	30	13	99	602					
KY	Kentucky	4	49	31	16	100	607					
LA	Louisiana	7	41	32	19	99	600					
ME	Maine	5	35	41	18	99	601					
MD	Maryland	7	42	29	20	98	606					
MA	Massachusetts	9	49	28	13	99	613					
MI	Michigan	7	47	33	13	100	602					
MN	Minnesota	11	50	27	11	99	607					
MS	Mississippi	11	50	25	14	100	604					
MO	Missouri	9	47	33	11	100	606					
MT	Montana	11	57	24	6	98	604					
NE	Nebraska	17	56	18	8	99	606					
NV	Nevada	9	43	31	14	97	603					
NH	New Hampshire	11	55	26	8	100	602					
NJ	New Jersey	14	48	24	11	97	606					
NM	New Mexico	9	46	29	14	98	603					
NY	New York	10	43	30	16	99	606					
NC	North Carolina	9	42	29	18	98	609					
ND	North Dakota	19	58	16	5	98	602					
OH	Ohio	7	47	31	13	98	611					
OK	Oklahoma	12	51	25	10	98	602					
OR	Oregon	7	47	33	13	100	700					
PA	Pennsylvania	3	43	42	10	98	609					
RI	Rhode Island	5	35	38	20	98	609					
SC	South Carolina	9	46	31	14	100	605					
SD	South Dakota	18	56	17	7	98	603					
TN	Tennessee	8	51	30	10	99	603					
TX	Texas	18	54	22	5	99	605					
UT	Utah	19	56	17	8	100	601					
VT	Vermont	12	45	32	10	99	606					
VA	Virginia	10	52	26	10	98	610					
WA	Washington	8	47	32	11	98	671					
WV	West Virginia	7	44	33	15	99	601					
WI	Wisconsin	16	41	29	13	99	604					
WY	Wyoming	20	56	17	6	99	610					
US	United States	10.34	47.94	28.14	12.32	98.74	608.84					
