"State Name","County Name","Estimates: Total","county","Rent_At_Level","Gap","Total","At_This_Level","Above_This_Level","Vacant","Substandard","Substandard_Vacant"
,,,,Extremely low (0-30% AMI),8375676,11567338,3140980,2674797,184906,105644,28580
,,,,Very low (31-50%),1058932,7689159,5912719,4096295,1004565,152711,134346
,,,,Low (51-80%),-4504404,8176899,11550379,6119070,1473547,215499,127124
,,,,Middle (81-120%),2694122,6872816,3910953,1982129,386505,86969,31795
,,,,High (over 120%),4470688,6308308,1227198,0,876209,109093,156694
Alabama,Autauga County,55263,01001,Extremely low (0-30% AMI),1067.5149896,1821.4499193,753.93492973,439.5649957,,0,
Alabama,Autauga County,55263,01001,Very low (31-50%),-24.09116329,592.80059169,659.150025,632.68923909,,42.258270027,
Alabama,Autauga County,55263,01001,Low (51-80%),-57.66081705,1116.4871903,1238.1278181,858.98819915,,63.979810695,
Alabama,Autauga County,55263,01001,Middle (81-120%),571.07905102,571.07905102,0,138.62292317,,0,
Alabama,Autauga County,55263,01001,High (over 120%),376.76999631,669.81332678,50.551949191,0,642.95760377,0,400.4662225
Alabama,Baldwin County,190981,01003,Extremely low (0-30% AMI),2415,3297,911,387,,29,
Alabama,Baldwin County,190981,01003,Very low (31-50%),-245,2894,3139,591,,0,
Alabama,Baldwin County,190981,01003,Low (51-80%),-1487,3564,5051,6090,,0,
Alabama,Baldwin County,190981,01003,Middle (81-120%),3919,4918,999,1033,,0,
Alabama,Baldwin County,190981,01003,High (over 120%),-4622,4680,1152,0,8383,0,233
Alabama,Barbour County,27203,01005,Extremely low (0-30% AMI),399.13962702,769.54619796,375.29951889,523.64953676,,4.8929479578,
Alabama,Barbour County,27203,01005,Very low (31-50%),129.19464714,454.10721259,334.59435609,273.38045398,,9.6817906399,
Alabama,Barbour County,27203,01005,Low (51-80%),59.75642825,756.22072267,696.46429442,396.84931096,,0,
Alabama,Barbour County,27203,01005,Middle (81-120%),224.24276385,403.40794333,179.16517948,50.074637611,,0,
Alabama,Barbour County,27203,01005,High (over 120%),232.15476481,451.71279125,5.517579612,0,312.94045875,0,98.900011913
Alabama,Bibb County,22648,01007,Extremely low (0-30% AMI),447.74794329,828.52301768,392.01610362,299.83966392,,11.241029232,
Alabama,Bibb County,22648,01007,Very low (31-50%),39.757745493,445.73639069,405.9786452,125.89952739,,0,
Alabama,Bibb County,22648,01007,Low (51-80%),-128.5027131,207.89987747,342.31892176,130.04095922,,5.9163311745,
Alabama,Bibb County,22648,01007,Middle (81-120%),94.661298792,158.91265535,64.251356555,5.3246980571,,0,
Alabama,Bibb County,22648,01007,High (over 120%),124.59793454,124.59793454,,,,,
Alabama,Blount County,57807,01009,Extremely low (0-30% AMI),519.74045802,885.52081888,365.78036086,770.60131853,,0,
Alabama,Blount County,57807,01009,Very low (31-50%),94.298056905,746.57633588,652.27827897,876.31124219,,0,
Alabama,Blount County,57807,01009,Low (51-80%),602.02602359,1082.3254684,480.29944483,174.38133241,,0,
Alabama,Blount County,57807,01009,Middle (81-120%),394.00971548,595.41915337,201.40943789,26.227272727,,0,
Alabama,Blount County,57807,01009,High (over 120%),154.76092991,281.2925052,43.845593338,0,126.53157529,43.845593338,0
,,,01011,Extremely low (0-30% AMI),123.87091873,238.82468212,116.47226448,162.5119252,,1.5185010903,
,,,01011,Very low (31-50%),40.094890492,140.9298246,103.83962775,84.842209857,,3.0046936469,
,,,01011,Low (51-80%),18.545098423,234.68918979,216.14409137,123.16013099,,0,
,,,01011,Middle (81-120%),69.592581885,125.19556862,55.602986734,15.540404776,,0,
,,,01011,High (over 120%),72.048030457,140.18672832,1.7123522934,0,97.119452715,0,30.693107145
Alabama,Butler County,20437,01013,Extremely low (0-30% AMI),422.63817529,814.85169321,397.39452841,554.47835726,,5.1810104953,
Alabama,Butler County,20437,01013,Very low (31-50%),136.80072393,480.84186767,354.29293046,289.47518214,,10.251786725,
Alabama,Butler County,20437,01013,Low (51-80%),63.274468602,800.74170718,737.46723858,420.21302144,,0,
Alabama,Butler County,20437,01013,Middle (81-120%),237.44460865,427.15778019,189.71317154,53.022681877,,0,
Alabama,Butler County,20437,01013,High (over 120%),245.82241286,478.30647955,5.8424160904,0,331.36420316,0,104.72255256
Alabama,Calhoun County,117253,01015,Extremely low (0-30% AMI),4182,5239,1057,1739,,0,
Alabama,Calhoun County,117253,01015,Very low (31-50%),-498,2723,3221,839,,0,
Alabama,Calhoun County,117253,01015,Low (51-80%),-1667,1997,3949,2192,,285,
Alabama,Calhoun County,117253,01015,Middle (81-120%),853,1097,318,319,,74,
Alabama,Calhoun County,117253,01015,High (over 120%),1525,2578,,,1246,,193
Alabama,Chambers County,34077,01017,Extremely low (0-30% AMI),534.97283307,1192.4359976,657.4631645,939.33850551,,0,
Alabama,Chambers County,34077,01017,Very low (31-50%),553.78911892,969.59214158,415.80302267,547.14807685,,0,
Alabama,Chambers County,34077,01017,Low (51-80%),-111.7908748,1002.4284051,1114.2192799,1117.1708542,,0,
Alabama,Chambers County,34077,01017,Middle (81-120%),998.36999054,1074.7419743,76.371983755,124.33506534,,0,
Alabama,Chambers County,34077,01017,High (over 120%),14.388924476,752.65143411,,,829.02341786,,90.76090823
Alabama,Cherokee County,26116,01019,Extremely low (0-30% AMI),504.95889018,1062.9201046,563.06987217,496.49767577,,5.1086577571,
